ID;Startzentrum_X;Startzentrum_Y;Startzentrum_Z;Austritt_s;Linsenkontakt_s;Metallkontakt_s;Kontakt_Safranstapel_s;Ruhezustand_s;Innerhalb_Schale;Endgeschwindigkeit
saffron-0587;-0.23041;6.06306;-0.18240;0.75;;;2.5500000000000003;4.761111111111111;true;0
saffron-0588;-0.61579;5.70612;-0.20716;0.4277777777777778;;2.272222222222222;2.0444444444444447;4.105555555555556;true;0
saffron-0589;-0.85981;6.62424;0.26733;1.2055555555555555;;4.816666666666666;2.6833333333333336;5.861111111111112;true;0
saffron-0590;-0.33392;5.92222;0.24282;0.5666666666666667;;2.238888888888889;2.283333333333333;3.5944444444444446;true;0
saffron-0591;-0.88799;6.56237;-0.04226;1.6611111111111112;;;3.327777777777778;5.694444444444445;true;0
saffron-0592;-0.47681;5.79626;0.01595;0.55;;;2.4555555555555557;4.655555555555556;true;0
saffron-0593;-0.60939;6.32544;-0.09975;1.3;;;3.15;5.15;true;0
saffron-0594;-0.68005;6.31160;-0.06866;1.288888888888889;;;3.2944444444444447;4.977777777777778;true;0
saffron-0595;-0.76118;5.95858;0.11753;0.6166666666666667;;;2.4722222222222223;4.905555555555556;true;0
saffron-0596;-0.35505;6.15022;0.22063;1.0222222222222224;;;2.8444444444444446;5.1000000000000005;true;0
saffron-0597;-1.01092;6.11250;-0.08706;0.9611111111111111;;;2.477777777777778;5.15;true;0
saffron-0598;-0.97025;6.49776;-0.04755;1.5666666666666667;;;3.1055555555555556;5.316666666666666;true;0
saffron-0599;-0.80371;5.98437;0.22135;0.5444444444444445;;2.861111111111111;2.4555555555555557;3.6944444444444446;true;0
saffron-0600;-0.74724;6.54448;-0.15306;1.5444444444444445;;;3.261111111111111;5.3388888888888895;true;0
saffron-0601;-0.32079;6.17412;-0.16128;0.9611111111111111;;;2.6277777777777778;4.844444444444445;true;0
saffron-0602;-0.70191;6.35678;0.19710;1.261111111111111;;;3.022222222222222;5.294444444444444;true;0
saffron-0603;-0.95203;6.11691;-0.24322;0.788888888888889;;;2.338888888888889;5.044444444444444;true;0
saffron-0604;-1.06419;6.43852;0.02481;1.4555555555555557;;;3.0277777777777777;5.933333333333334;true;0
saffron-0605;-0.44479;5.87875;-0.23039;0.6166666666666667;;;2.316666666666667;4.727777777777778;true;0
saffron-0606;-0.83407;6.38979;-0.17095;1.4833333333333334;;;3.138888888888889;5.827777777777778;true;0
